model,task,trial_dir,resolved,f2p_passed,f2p_total,p2p_passed,p2p_total,posthoc_skips_applied,agent_steps,tool_call_count,input_tokens,cached_tokens,output_tokens,wall_clock_sec,infra_fail
anthropic/bedrock-claude-opus-4-6,t2v3-ADd1f1-eval-service-integration,/data/projects/craft-taskgen/evals-final/opus46-high/iter5-mon/t2v3-ADd1f1-eval-service-integra-ZwE7quv,1,4,4,18,18,0,137,78,5799650,5621221,72656,1531.283045,0
anthropic/bedrock-claude-opus-4-6,t2v3-ADd1f1-eval-service-integration,/data/projects/craft-taskgen/evals-final/opus46-high/iter3-sun/t2v3-ADd1f1-eval-service-integra-zq2RGmi,1,4,4,18,18,0,119,70,4708525,4605555,41425,879.365301,0
anthropic/bedrock-claude-opus-4-6,t2v3-ADd1f1-eval-service-integration,/data/projects/craft-taskgen/evals-final/opus46-high/iter2-sun/t2v3-ADd1f1-eval-service-integra-u47DrYp,1,4,4,18,18,0,94,57,3166383,3081083,25636,517.137923,0
anthropic/bedrock-claude-opus-4-6,t2v3-ADd1f1-eval-service-integration,/data/projects/craft-taskgen/evals-final/opus46-high/iter4-mon/t2v3-ADd1f1-eval-service-integra-qoZzHPG,1,4,4,18,18,0,113,72,4390840,4299772,23253,657.74477,0
anthropic/bedrock-claude-opus-4-6,t2v3-ADd1f1-eval-service-integration,/data/projects/craft-taskgen/evals-final/opus46-high/iter1-sat/t2v3-ADd1f1-eval-service-integra-q4ep3Gs,1,4,4,18,18,0,89,52,2826111,2741382,16541,464.047772,0
anthropic/bedrock-claude-opus-4-6,t2v3-ADebd7-toolset-name-prefix,/data/projects/craft-taskgen/evals-final/opus46-high/iter5-mon/t2v3-ADebd7-toolset-name-prefix-maMnRdB,0,20,24,4,4,0,32,19,723061,687828,8839,298.225631,0
anthropic/bedrock-claude-opus-4-6,t2v3-ADebd7-toolset-name-prefix,/data/projects/craft-taskgen/evals-final/opus46-high/iter3-sun/t2v3-ADebd7-toolset-name-prefix-665bxJF,1,24,24,4,4,0,41,22,852662,817030,6771,251.913087,0
anthropic/bedrock-claude-opus-4-6,t2v3-ADebd7-toolset-name-prefix,/data/projects/craft-taskgen/evals-final/opus46-high/iter2-sun/t2v3-ADebd7-toolset-name-prefix-xuvfP3K,0,22,24,4,4,0,28,14,495594,435705,8778,662.264584,0
anthropic/bedrock-claude-opus-4-6,t2v3-ADebd7-toolset-name-prefix,/data/projects/craft-taskgen/evals-final/opus46-high/iter4-mon/t2v3-ADebd7-toolset-name-prefix-knAfRmy,0,22,24,4,4,0,29,15,515718,485212,7959,304.503273,0
anthropic/bedrock-claude-opus-4-6,t2v3-ADebd7-toolset-name-prefix,/data/projects/craft-taskgen/evals-final/opus46-high/iter1-sat/t2v3-ADebd7-toolset-name-prefix-aDzKSPD,0,20,24,4,4,0,42,22,924223,877398,9185,255.692058,0
anthropic/bedrock-claude-opus-4-6,t2v3-AN4f86-angrop-aarch64-support,/data/projects/craft-taskgen/evals-final/opus46-high/iter5-mon/t2v3-AN4f86-angrop-aarch64-suppo-QVTZjgZ,0,1,2,13,16,0,112,66,5460718,5279274,25880,614.26518,0
anthropic/bedrock-claude-opus-4-6,t2v3-AN4f86-angrop-aarch64-support,/data/projects/craft-taskgen/evals-final/opus46-high/iter3-sun/t2v3-AN4f86-angrop-aarch64-suppo-9B6JSSC,1,2,2,16,16,0,122,71,6239688,6106132,27030,943.012124,0
