row_kind,label,claude-code/aws/anthropic/bedrock-claude-opus-4-7 / effort=xhigh,codex/openai/openai/gpt-5.5 / effort=xhigh,opencode/nvidia/azure/anthropic/claude-haiku-4-5 / effort=medium,opencode/vllm/model,overall
trial_count,n,12,19,13,20,64
primary_class,PATCH_APPLY_FAILED,0,0,0,0,0
primary_class,TYPE_OR_IMPORT_ERROR,0,0,0,0,0
primary_class,P2P_REGRESSION,0,3,0,1,4
primary_class,F2P_NONE,1,1,5,10,17
primary_class,F2P_PARTIAL,11,15,8,9,43
primary_class,UNCLASSIFIED,0,0,0,0,0
flag,PATCH_APPLY_FAILED,0,0,0,0,0
flag,P2P_REGRESSION,0,3,0,1,4
flag,F2P_PARTIAL,11,16,8,10,45
flag,F2P_NONE,1,1,5,10,17
flag,TYPE_OR_IMPORT_ERROR,0,0,0,0,0
flag,COMMITTED_NARROWER,4,9,5,15,33
flag,COMMITTED_BROADER,5,15,9,5,34
flag,AGENT_DIFF_TINY,0,0,0,8,8
flag,AGENT_DIFF_HUGE,3,3,9,5,20
flag,EXIT_NONZERO,0,0,0,0,0
